,movie_id,name,first_score,last_score,pageviews,genre
724,13734892,G.I. Joe: The Rise of Cobra,-0.6249,-0.3182,35360.389904479576,Action
746,566713,The Living Daylights,-0.1779,-0.8225,34842.839179841896,Action
1760,730734,Scooby-Doo 2: Monsters Unleashed,-0.1779,-0.296,34529.002799736496,Action
173,26008898,Ra.One,0.2732,0.296,34182.89130434783,Action
1435,3654271,Fantastic Four: Rise of the Silver Surfer,0.4939,0.5574,34012.102108036896,Action
423,203841,Starship Troopers,-0.34,0.4767,33415.75510540185,Action
1691,590462,Once Upon a Time in Mexico,-0.6908,-0.4019,33339.656867588936,Action
886,67417,Under Siege,-0.0258,-0.3612,33313.96870882741,Action
1141,29007308,Ghost Rider: Spirit of Vengeance,-0.8074,-0.3182,32827.54216073781,Action
1420,10193,Enter the Dragon,0.7351,-0.6705,32573.94062911726,Action
1126,997939,Kindergarten Cop,-0.8807,0.807,32396.839920948616,Action
1586,14119255,Green Lantern,0.2732,-0.5106,32218.182065217392,Action
633,20774714,Fist of the North Star,-0.7506,-0.3818,31073.752305665348,Action
1555,311765,Batman: Mask of the Phantasm,-0.8402,-0.9001,29805.396986166004,Action
469,34004505,Spring Breakers,0.8779,-0.4404,29752.17877140975,Action
138,31841233,Resident Evil: Retribution,-0.4767,-0.6908,29698.172101449272,Action
1201,241603,Austin Powers: The Spy Who Shagged Me,0.5267,0.6369,29563.72159090909,Action
204,19268144,The Call of the Wild,-0.7096,-0.7506,28921.328886693016,Action
680,5524740,Osmosis Jones,-0.6908,0.296,28590.129364295128,Action
1689,89818,The 13th Warrior,0.8271,0.6808,28343.09659090909,Action
22,506119,Out of Sight,-0.5574,0.875,27888.220355731224,Action
1062,26252728,Cowboys & Aliens,-0.7906,0.4019,27880.203804347828,Action
972,3903364,Howl's Moving Castle,0.3182,-0.5994,27801.603260869564,Action
812,900231,Team America: World Police,-0.7184,-0.7579,27227.995718050064,Action
49,598868,Mad Max Beyond Thunderdome,-0.743,0.4215,26566.287796442684,Action
1278,15441313,Long John Silver,0.296,0.2617,25730.573122529644,Action
78,1046769,Speed 2: Cruise Control,-0.4939,0.3182,25364.572546113304,Action
1172,15332396,Resident Evil: Afterlife,-0.6908,-0.6597,24951.48353096179,Action
1662,9513043,You Don't Mess with the Zohan,0.7461,0.3612,24934.571146245056,Action
1351,32295361,Rowdy Rathore,0.2023,-0.0516,23127.29446640316,Action
427,1830431,The Legend of Zorro,0.6124,0.3818,23073.27445652174,Action
947,1095555,Kung Pow! Enter the Fist,-0.872,-0.5719,23003.045454545456,Action
417,10812453,Monsters vs. Aliens,-0.25,-0.7351,22992.191617259552,Action
1906,67422,Executive Decision,-0.4588,-0.1531,22850.958003952568,Action
1344,9779574,The Scarlet Pimpernel,-0.875,0.3182,22274.350131752308,Action
1738,152058,Beneath the Planet of the Apes,-0.4215,0.802,22270.315546772068,Action
240,256337,Charlie's Angels: Full Throttle,0.4404,0.5719,22198.16691370224,Action
16,228355,The Naked Gun: From the Files of Police Squad!,-0.4404,0.128,22087.878293807644,Action
820,12260598,Ice Age: Dawn of the Dinosaurs,-0.4767,-0.765,21838.222579051384,Action
44,73471,Flash Gordon,-0.6369,0.5267,21792.387351778656,Action
215,3978441,Flash Gordon,-0.4939,0.3182,21792.387351778656,Action
1746,194693,Spy Kids 3-D: Game Over,0.4235,0.7783,21768.668478260868,Action
490,600194,Cool World,-0.5994,-0.4215,21655.30665349144,Action
1611,326446,El Mariachi,-0.7783,-0.5106,21503.348320158104,Action
768,4138142,The League of Extraordinary Gentlemen,-0.743,-0.6249,21350.12187088274,Action
1407,1629631,Karan Arjun,-0.4767,0.3612,21347.411725955204,Action
719,933321,Kelly's Heroes,-0.7906,0.1531,21338.26416337286,Action
1019,3936140,Smokin' Aces,-0.296,-0.7096,20961.245059288536,Action
1534,2303174,Ice Age: The Meltdown,-0.4767,-0.8074,20917.141963109352,Action
861,807842,Beverly Hills Cop II,0.2732,0.6486,20602.035573122528,Action
521,26508187,Drive Angry,-0.9837,-0.6808,20500.09782608696,Action
1623,16368206,Paul Blart: Mall Cop,-0.2716,0.3612,19913.646656785244,Action
1717,22967108,Date Night,-0.3182,0.6369,19852.395256917,Action
1500,14090644,Eagle Eye,-0.6705,0.9062,19751.34486166008,Action
136,164502,The Adventures of Baron Munchausen,0.34,0.6124,19737.72084980237,Action
708,5991505,The Shadow,-0.2732,-0.6808,19642.092555994728,Action
80,2150615,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,-0.4404,-0.4588,19616.88554018445,Action
723,8931001,Maximum Overdrive,-0.6369,-0.4215,19565.60079051384,Action
1325,1173339,Jaws 3-D,0.6249,0.7906,19278.718708827404,Action
1522,1024501,Conan the Destroyer,-0.6249,0.34,18643.12005928854,Action
340,26340083,Batman: Under the Red Hood,-0.1027,0.8316,18614.47167325428,Action
1142,8514531,The Substitute,-0.34,-0.1779,18111.119812252964,Action
1753,1623267,The Last Dragon,0.8519,-0.1779,18016.039443346504,Action
1620,1695219,Vertical Limit,-0.1779,-0.4939,17912.364130434784,Action
1108,159447,The Negotiator,0.2023,0.5423,17456.22463768116,Action
50,153372,Iron Eagle,0.4215,0.4767,17330.920289855072,Action
161,289591,Spy Game,0.6808,0.5106,17284.291419631096,Action
1412,675213,Young Guns II,-0.6705,0.5423,17060.338932806328,Action
1235,14708304,Crank: High Voltage,-0.1531,-0.1027,16783.784173254284,Action
919,1179229,Sudden Impact,-0.7506,-0.5719,16592.108613306984,Action
520,20320460,Black Dynamite,-0.2732,0.6249,16480.605648880108,Action
475,5162128,Okkadu,0.5994,0.4215,16431.392704216076,Action
120,6703617,The Forbidden Kingdom,0.6597,-0.6908,16196.758399209484,Action
1045,975900,Ghosts of Mars,0.2235,-0.3818,16013.456439393938,Action
1166,67423,Under Siege 2: Dark Territory,0.4215,0.0516,15731.644104084322,Action
1376,1724301,Turner & Hooch,0.0258,0.802,15558.74547101449,Action
1059,2376744,Sympathy for Mr. Vengeance,0.1027,-0.4767,15446.347826086958,Action
291,27907826,Mankatha,-0.7964,-0.6705,15154.872282608696,Action
718,915499,Land of the Dead,0.4215,-0.34,15136.823863636364,Action
1890,22947141,Kill the Irishman,-0.3818,-0.3818,15072.570652173914,Action
273,4844617,City Hunter,0.3182,0.7096,14920.142786561264,Action
815,1744593,Miss Congeniality 2: Armed and Fabulous,0.5859,-0.5719,14916.602272727272,Action
1495,194249,Shanghai Knights,-0.4215,0.3612,14416.76572793149,Action
846,485540,Mortal Kombat: Annihilation,-0.6597,0.7717,14341.580204216074,Action
1466,238906,Blues Brothers 2000,-0.872,0.1779,14304.887351778658,Action
1612,964721,Windtalkers,-0.5994,-0.5921,14241.1581027668,Action
773,12714295,The Last Legion,-0.6597,0.4588,14110.594367588934,Action
1444,157239,Star Trek: Insurrection,0.4939,0.4939,14042.645586297762,Action
1455,675947,Hamburger Hill,-0.5423,-0.5106,13980.260622529642,Action
1481,15883386,Parugu,0.7906,0.1779,13878.542490118576,Action
675,2194169,Teenage Mutant Ninja Turtles III,-0.2023,0.0772,13869.627717391304,Action
1722,5564470,The Phantom,-0.3182,-0.0138,13783.757905138342,Action
931,5235481,The Phantom,-0.9062,0.0857,13783.757905138342,Action
1418,17365387,A Perfect Getaway,0.5719,0.7351,13720.009881422926,Action
995,6845157,Starship Troopers 3: Marauder,0.0516,0.5859,13593.65513833992,Action
859,1416397,Hot Shots! Part Deux,0.8248,0.4215,13579.375247035574,Action
757,695266,Lethal Weapon 3,-0.4939,-0.5719,13543.597496706192,Action
1154,471352,Ghost Dog: The Way of the Samurai,-0.2023,0.5106,13542.443181818182,Action
362,2058218,The Legend of Billie Jean,0.765,0.3612,13532.652832674572,Action
1000,261364,Agent Cody Banks,0.4767,0.6808,13507.169713438736,Action
1562,1017650,Death Race 2000,-0.5423,-0.5423,13487.86141304348,Action
1221,4753099,Big Stan,-0.875,0.0754,13482.58860342556,Action
1226,100274,Hudson Hawk,0.1027,0.4939,13409.386528326746,Action
383,33474657,Act of Valor,-0.8481,-0.6705,13302.073945981554,Action
1414,27719912,Siruthai,-0.7717,0.7096,13283.331521739132,Action
284,878005,Ong-Bak: Muay Thai Warrior,0.024,0.5719,13283.209074440052,Action
148,2853229,Thiruda Thiruda,-0.3182,0.3182,13275.23591897233,Action
1391,27590677,Velayudham,-0.6486,-0.8126,13270.27445652174,Action
1702,3859075,Rescue Dawn,-0.34,0.7184,13094.47167325428,Action
275,1210913,Pootie Tang,0.3182,-0.7845,13082.11478919631,Action
603,1278589,The Marine,-0.7845,0.5719,12925.847167325426,Action
1056,2193661,Taras Bulba,-0.7184,-0.6551,12744.91831357049,Action
752,1968844,Throw Momma from the Train,-0.7096,0.8402,12686.85696640316,Action
379,1493527,Timecop,0.4588,0.7783,12660.09881422925,Action
623,685832,Innerspace,-0.3182,0.7579,12586.847084980236,Action
1198,2102014,The Golden Child,-0.5106,0.4404,12580.22859025033,Action
1280,2056480,"See No Evil, Hear No Evil",-0.4019,-0.3182,12219.805253623186,Action
298,9111772,Kanthaswamy,0.3182,0.3612,12083.588603425562,Action
1468,172666,The Big Red One,-0.5994,0.5267,12031.257246376812,Action
327,22264734,Veerana,-0.6369,0.7003,11982.57427536232,Action
737,6559480,Zatoichi,-0.7783,0.0772,11969.244400527008,Action
1818,993867,By Dawn's Early Light,-0.4939,-0.3182,11941.00790513834,Action
888,689980,Mercury Rising,-0.3182,0.891,11919.1185770751,Action
99,265891,The Great Race,0.6249,-0.7096,11880.38924571805,Action
1458,9467480,King Solomon's Mines,-0.0258,0.4767,11823.71129776021,Action
242,10862322,King Solomon's Mines,-0.3182,0.8126,11823.71129776021,Action
23,8905156,King Solomon's Mines,0.4939,0.8442,11823.71129776021,Action
1365,4440305,Highlander II: The Quickening,0.0935,0.5106,11786.484025032936,Action
576,647756,Dragon: The Bruce Lee Story,-0.6908,-0.8316,11515.376729249012,Action
1266,2926668,DOA: Dead or Alive,-0.7351,-0.3818,11428.11956521739,Action
674,602965,Sky Captain and the World of Tomorrow,0.3134,0.3182,11348.489789196308,Action
1020,3136443,Reindeer Games,-0.6486,-0.4939,11270.29347826087,Action
1031,270759,The Hidden Fortress,-0.9246,0.2023,11263.62187088274,Action
1191,10999486,Awarapan,-0.7814,0.128,11246.850872859026,Action
166,921891,Cradle 2 the Grave,-0.4939,-0.5994,11160.082592226614,Action
1596,1140398,Blue Thunder,-0.9442,-0.7717,11044.241024374178,Action
851,7580904,Kadhal Desam,0.34,0.9364,11031.656126482214,Action
121,20161466,The Spy Next Door,0.5994,0.8176,10978.403162055336,Action
1754,2244052,Arlington Road,-0.7845,0.4215,10913.267045454546,Action
1743,8166078,Ab Tumhare Hawale Watan Saathiyo,0.4588,0.4939,10732.64410408432,Action
1437,1376794,Romper Stomper,-0.7906,-0.8779,10712.590579710144,Action
292,1090927,Atlantis: Milo's Return,0.6908,0.4404,10617.075675230566,Action
1598,5871867,Logan's Run,0.4939,-0.2023,10602.660902503292,Action
282,992451,After the Sunset,-0.4939,0.7003,10527.814558629776,Action
1705,820919,Spies Like Us,0.1779,0.5994,10428.583745059288,Action
1136,8288529,Vishwatma,0.743,0.2732,10397.519433465086,Action
1815,27216746,Machine Gun Preacher,-0.4588,0.6908,10348.945652173912,Action
58,685981,Loaded Weapon 1,-0.7922,-0.4939,10336.451086956522,Action
164,24353804,Justice League: Crisis on Two Earths,-0.4767,0.7184,10265.802371541502,Action
487,23900668,Thillalangadi,0.7269,0.0516,10247.588932806324,Action
1808,2174599,The Siege,0.4019,0.4019,10244.284420289856,Action
432,2490812,Tremors 2: Aftershocks,0.0516,0.3612,10118.534090909092,Action
1271,1594408,Turbo: A Power Rangers Movie,-0.8934,0.6908,10092.817687747036,Action
358,805354,Ewoks: The Battle for Endor,-0.4939,-0.0258,10062.504858366272,Action
534,5700623,Superman II: The Richard Donner Cut,-0.5106,0.3875,10023.253952569168,Action
833,5579355,Digimon: The Movie,-0.4939,0.4767,9999.50543478261,Action
1057,877220,The Crow: City of Angels,-0.8689,-0.1027,9925.362154150198,Action
1559,5252749,Swashbuckler,-0.7717,0.2732,9871.791666666666,Action
276,277713,The Tuxedo,-0.1531,0.5859,9817.001976284586,Action
1398,3153023,Beverly Hills Ninja,-0.2023,0.0516,9787.029067852438,Action
829,2259649,Maniac Cop,-0.7906,-0.5859,9778.342885375494,Action
1488,1331395,The Adventures of Pluto Nash,-0.8817,0.7906,9670.411067193678,Action
397,33618937,Dammu,0.4939,-0.8225,9636.877635046114,Action
1277,5218383,Vallavan,0.4767,-0.6369,9609.226613965742,Action
911,2056466,The Animal,0.6369,0.5994,9583.58852108037,Action
1434,586023,Those Magnificent Men in Their Flying Machines,0.8316,-0.34,9560.965579710144,Action
548,10348583,Undisputed II: Last Man Standing,-0.5106,0.3182,9370.898962450594,Action
627,234731,Virtuosity,-0.9432,-0.3182,9347.834403820816,Action
485,962502,55 Days at Peking,-0.128,-0.4939,9228.203063241108,Action
558,22892795,Prison Break: The Final Break,-0.0258,0.5106,9197.484354413704,Action
1404,2130880,Striking Distance,-0.3818,-0.3818,9174.155385375494,Action
1687,930561,Remo Williams: The Adventure Begins,0.3182,-0.6249,9059.37269433465,Action
1527,27428503,Undisputed III: Redemption,-0.3818,0.4939,9046.00790513834,Action
1300,1434574,Gunbuster,0.3182,0.6249,8912.533267457182,Action
174,2853175,Agni Natchathiram,0.4939,0.8519,8844.143610013174,Action
277,10328139,The Brothers Bloom,0.872,0.8126,8801.59980237154,Action
1656,1275719,Vampire Hunter D: Bloodlust,-0.1154,0.836,8767.713768115942,Action
653,4220121,The Condemned,-0.5106,0.3612,8706.751070487484,Action
60,7085931,The Scorpion King 2: Rise of a Warrior,-0.4023,0.4497,8579.570158102766,Action
902,9535065,The Day of the Jackal,-0.8225,-0.8573,8551.167243083004,Action
617,27451281,"Big Mommas: Like Father, Like Son",0.743,0.4939,8512.701086956522,Action
1667,449352,Cross of Iron,-0.5994,-0.4767,8400.991436100132,Action
1819,67419,Out for Justice,0.5106,-0.7184,8390.378458498024,Action
918,31221006,The Scorpion King 3: Battle for Redemption,0.6808,0.1761,8265.96360342556,Action
343,226519,The 7th Voyage of Sinbad,-0.4854,0.6249,8222.22068511199,Action
1829,2071706,Robin and Marian,0.1531,-0.4215,8209.780303030302,Action
260,1675523,A Man Apart,-0.5719,0.5423,8141.283349802372,Action
361,17192514,Varudu,0.1655,-0.1531,8134.587038866931,Action
642,2411357,A Bittersweet Life,-0.1027,0.6478,7965.005681818182,Action
1162,5561794,The Driver,-0.5106,-0.7133,7928.782608695652,Action
62,33492450,Starship Troopers: Invasion,0.2023,-0.1027,7885.238306982871,Action
502,29034986,The Devil's Double,-0.7506,-0.5719,7844.347826086957,Action
474,458890,Hercules in New York,0.2732,-0.34,7838.413702239788,Action
143,2043990,Spy Hard,-0.6597,0.1779,7809.103754940712,Action
1903,11505804,Japan Sinks,-0.1779,0.3612,7800.761363636364,Action
1139,4966576,Ratchagan,-0.6705,-0.3612,7580.244565217391,Action
903,1585387,Street Fighter II: The Animated Movie,0.5859,-0.3818,7573.142292490119,Action
1178,5208783,Dhool,0.6908,-0.6249,7568.222579051383,Action
117,652534,The Medallion,-0.5423,-0.4939,7488.418560606061,Action
316,2993903,Support Your Local Sheriff!,-0.6249,0.5563,7448.773468379447,Action
879,5526916,Naked Weapon,-0.5994,0.3182,7305.666007905139,Action
187,770098,Steamboy,0.4215,-0.2732,7261.058959156785,Action
1616,3648503,Death Wish 3,-0.7717,0.5106,7251.523468379446,Action
1465,2476317,French Connection II,0.3182,-0.7717,7173.364624505929,Action
1301,151535,Donovan's Reef,0.4404,-0.5267,7127.91773715415,Action
1359,3278100,3 Ninjas Kick Back,0.05,-0.6597,7097.332015810277,Action
1071,1359571,The Wind and the Lion,-0.3182,0.6124,7088.864377470356,Action
1655,924954,The Heroes of Telemark,-0.765,-0.5267,7078.868000658762,Action
1448,5547391,Aakhree Raasta,-0.4767,0.4019,7068.045454545455,Action
1584,2448736,Lone Wolf McQuade,-0.25,-0.25,7065.170948616602,Action
690,214148,Bulletproof Monk,0.4588,0.4215,7029.545454545455,Action
991,30177188,Thenmerku Paruvakaatru,0.5994,-0.8338,7024.822134387351,Action
122,3306716,Tremors 3: Back to Perfection,0.8658,-0.5267,7006.51984519104,Action
892,3728120,Aathi,0.3818,-0.7269,6981.917984189723,Action
183,4501185,Universal Soldier: The Return,0.8581,-0.8807,6974.573863636363,Action
707,6335418,Harsh Times,-0.8225,0.3182,6968.289031620554,Action
628,31518744,Killer Bean Forever,0.4019,-0.836,6954.199604743083,Action
1599,18589178,Prince Valiant,-0.2732,0.4927,6897.094861660079,Action
244,1057543,Voyage to the Bottom of the Sea,0.0772,-0.7351,6896.039525691699,Action
1768,14770549,My Dear Kuttichathan,-0.4019,0.2732,6892.700098814229,Action
1629,34977675,Daruvu,0.3612,-0.3612,6829.070652173913,Action
1400,18418582,24: Redemption,-0.25,-0.875,6784.239130434782,Action
1438,2323824,God of Gamblers,0.8768,0.3818,6773.740942028985,Action
488,839705,The Big Hit,0.1818,-0.4019,6769.4034914361,Action
847,3613070,The Man Who Would Be King,-0.128,0.4215,6725.835968379447,Action
621,7869288,Samarasimha Reddy,-0.5859,-0.3612,6674.488636363637,Action
1506,11474887,Dubai Seenu,0.4754,-0.5423,6674.231472332016,Action
844,976989,The Doom Generation,0.765,0.3612,6671.365612648221,Action
550,1865502,Wrongfully Accused,0.34,-0.2732,6644.595520421608,Action
1761,2473644,Fullmetal Alchemist the Movie: Conqueror of Shamballa,-0.0516,-0.8402,6528.947381422925,Action
320,11076424,First Sunday,0.4215,0.296,6376.001976284584,Action
1123,1731114,Smokey and the Bandit Part 3,0.3182,0.5719,6355.070899209487,Action
2,17124781,"The Good, the Bad, the Weird",-0.3182,-0.34,6354.880434782608,Action
704,1289336,The Replacement Killers,-0.7845,0.5859,6311.120223978921,Action
1769,67444,Half Past Dead,-0.9413,0.7184,6304.513833992095,Action
480,22842262,Superman/Batman: Public Enemies,-0.5423,0.7096,6247.824028326746,Action
1032,1308068,The Mack,0.4939,0.0258,6231.889739789196,Action
315,483727,The Court Jester,-0.0258,-0.4226,6184.563405797102,Action
1118,1376533,The Outlaw,0.7096,0.4767,6181.884140316205,Action
1510,4087825,American Outlaws,-0.5994,0.2023,6078.146821475625,Action
167,965432,The Bridge at Remagen,-0.8126,-0.2732,5990.361907114625,Action
406,31417999,Henry's Crime,-0.5801,-0.296,5988.93280632411,Action
867,1241944,Yu-Gi-Oh! The Movie: Pyramid of Light,-0.93,0.6705,5956.765480895915,Action
830,1232511,Sugar & Spice,-0.5994,0.9042,5951.828886693017,Action
1852,3091469,G.I. Joe: The Movie,-0.8316,0.5719,5936.793478260869,Action
1223,3307040,Tremors 4: The Legend Begins,0.0516,0.6369,5900.108695652173,Action
1088,2371819,D-Tox,-0.8658,-0.1531,5893.889328063242,Action
787,17440633,One Two Three,-0.6808,-0.0772,5865.283102766798,Action
330,14864488,Galaxy of Terror,-0.7184,-0.5719,5807.80138339921,Action
295,27919005,Venghai,0.5256,0.6908,5761.619565217392,Action
507,23750517,Gandhada Gudi,0.6249,-0.8225,5758.790678524374,Action
472,29012574,Rare Exports: A Christmas Tale,-0.3818,-0.6124,5683.942028985506,Action
1671,23725400,Turtles Forever,-0.743,0.4404,5678.773468379447,Action
496,6501479,Jagadeka Veerudu Athiloka Sundari,0.6908,0.6124,5672.537549407115,Action
1273,18372339,Jaal: The Trap,-0.4588,-0.8481,5669.056735836627,Action
1914,29294207,The Sitter,-0.4767,0.3612,5640.737071805006,Action
1183,12545744,Darkman II: The Return of Durant,-0.8658,-0.9001,5615.425395256917,Action
1565,652445,Armour of God II: Operation Condor,0.3182,-0.5251,5587.230072463768,Action
151,103088,Dead Men Don't Wear Plaid,-0.7184,0.6124,5582.339591567852,Action
1374,1039414,Cecil B. Demented,0.1531,0.7506,5580.824275362319,Action
1858,8280078,Paper Soldiers,-0.6249,-0.9294,5568.584980237155,Action
711,11601053,Tuff Turf,-0.4588,0.3612,5505.004117259551,Action
73,2022113,The Sea Wolves,-0.5994,0.4767,5498.175724637681,Action
118,3084955,City Slickers II: The Legend of Curly's Gold,0.7269,-0.0772,5419.920948616601,Action
819,3418900,Cast a Giant Shadow,-0.5267,-0.8271,5413.25790513834,Action
1597,3033155,King Kong Lives,0.7003,-0.0516,5397.666007905138,Action
252,3286162,"Zorro, The Gay Blade",0.3506,-0.4767,5377.115365612649,Action
471,2797150,A Low Down Dirty Shame,-0.7506,-0.0258,5366.396574440053,Action
1452,4163034,Maximum Risk,0.4215,-0.3506,5363.085474308301,Action
743,723288,The Newton Boys,0.0258,-0.4939,5345.330039525692,Action
877,204809,A Chinese Ghost Story,-0.5423,0.4939,5308.283102766798,Action
378,8548290,Qayamat: City Under Threat,-0.6249,0.5574,5268.932971014492,Action
989,4278061,King Uncle,-0.5574,-0.4588,5230.202075098814,Action
1545,2900798,Beyond the Poseidon Adventure,0.3182,0.4215,5208.19375823452,Action
1653,30496084,Muppozhudhum Un Karpanaigal,0.6597,0.7351,5189.046195652174,Action
580,1700429,Saat Hindustani,0.296,0.296,5122.41847826087,Action
938,3650208,Greased Lightning,-0.8176,0.2732,5118.929841897234,Action
1766,26537530,Don Seenu,0.7003,0.6808,5063.673254281949,Action
357,11994,Destroy All Monsters,0.4215,0.5423,5062.885540184453,Action
